type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,2000,0,CL,0-10,1832,40.1,-32.4
Nonref,2000,0,CL,20-Oct,5670,42.7,-16.7
Nonref,2000,0,CL,20-30,6517,31,4.3
Nonref,2000,0,CL,30-40,5767,18.8,17.1
Nonref,2000,0,CL,40-50,4280,10.2,18.1
Nonref,2000,0,CL,50-60,3778,6.7,11.1
Nonref,2000,0,CL,60-70,3869,5.2,12.5
Nonref,2000,0,CL,70-80,3816,3.9,17.6
Nonref,2000,0,CL,80-90,3586,2.7,20.5
Nonref,2000,0,CL,90-95,3507,1.8,21.3
Nonref,2000,0,CL,95-99,2248,0.7,25.8
Nonref,2000,0,CL,Top 1%,244,0,28.6
Nonref,2000,0,CL,ALL,4506,5.6,8.7
Nonref,2000,0,NO,0-10,1832,40.2,-32.4
Nonref,2000,0,NO,20-Oct,5670,42.7,-16.7
Nonref,2000,0,NO,20-30,6517,31,4.3
Nonref,2000,0,NO,30-40,5767,18.8,17.1
Nonref,2000,0,NO,40-50,4280,10.2,18.1
Nonref,2000,0,NO,50-60,3778,6.7,11.1
Nonref,2000,0,NO,60-70,3869,5.2,12.5
Nonref,2000,0,NO,70-80,3816,3.9,17.6
Nonref,2000,0,NO,80-90,3587,2.7,20.5
Nonref,2000,0,NO,90-95,3513,1.8,21.3
Nonref,2000,0,NO,95-99,3562,1.1,25.2
Nonref,2000,0,NO,Top 1%,3705,0.3,28.6
Nonref,2000,0,NO,ALL,4586,5.7,8.7
Nonref,2000,0,PT,0-10,1829,40.1,-32.4
Nonref,2000,0,PT,20-Oct,5669,42.7,-16.7
Nonref,2000,0,PT,20-30,6517,31,4.3
Nonref,2000,0,PT,30-40,5765,18.8,17.1
Nonref,2000,0,PT,40-50,4278,10.2,18.1
Nonref,2000,0,PT,50-60,3777,6.7,11.1
Nonref,2000,0,PT,60-70,3832,5.2,13.1
Nonref,2000,0,PT,70-80,3273,3.3,20.8
Nonref,2000,0,PT,80-90,1339,1,23.6
Nonref,2000,0,PT,90-95,327,0.2,21.5
Nonref,2000,0,PT,95-99,262,0.1,25.3
Nonref,2000,0,PT,Top 1%,171,0,28.6
Nonref,2000,0,PT,ALL,4019,5,9.4
Nonref,2000,500,CL,0-10,1832,40.2,-32.4
Nonref,2000,500,CL,20-Oct,5670,42.7,-16.7
Nonref,2000,500,CL,20-30,6519,31,4.2
Nonref,2000,500,CL,30-40,5830,19,16
Nonref,2000,500,CL,40-50,4456,10.6,17.7
Nonref,2000,500,CL,50-60,3971,7.1,11
Nonref,2000,500,CL,60-70,4092,5.5,12.5
Nonref,2000,500,CL,70-80,4063,4.1,17.6
Nonref,2000,500,CL,80-90,3809,2.8,20.5
Nonref,2000,500,CL,90-95,3725,1.9,21.3
Nonref,2000,500,CL,95-99,2395,0.7,25.8
Nonref,2000,500,CL,Top 1%,253,0,28.6
Nonref,2000,500,CL,ALL,4630,5.8,8.5
Nonref,2000,500,NO,0-10,1832,40.2,-32.4
Nonref,2000,500,NO,20-Oct,5670,42.7,-16.7
Nonref,2000,500,NO,20-30,6519,31,4.2
Nonref,2000,500,NO,30-40,5830,19,16
Nonref,2000,500,NO,40-50,4456,10.6,17.7
Nonref,2000,500,NO,50-60,3972,7.1,11
Nonref,2000,500,NO,60-70,4092,5.5,12.5
Nonref,2000,500,NO,70-80,4063,4.1,17.6
Nonref,2000,500,NO,80-90,3809,2.8,20.5
Nonref,2000,500,NO,90-95,3732,1.9,21.3
Nonref,2000,500,NO,95-99,3768,1.1,25.2
Nonref,2000,500,NO,Top 1%,3921,0.3,28.6
Nonref,2000,500,NO,ALL,4713,5.9,8.5
Nonref,2000,500,PT,0-10,1829,40.1,-32.4
Nonref,2000,500,PT,20-Oct,5670,42.7,-16.7
Nonref,2000,500,PT,20-30,6519,31,4.2
Nonref,2000,500,PT,30-40,5828,19,16
Nonref,2000,500,PT,40-50,4455,10.6,17.7
Nonref,2000,500,PT,50-60,3971,7.1,11.1
Nonref,2000,500,PT,60-70,4055,5.5,13.1
Nonref,2000,500,PT,70-80,3520,3.6,20.8
Nonref,2000,500,PT,80-90,1519,1.1,23.8
Nonref,2000,500,PT,90-95,345,0.2,21.6
Nonref,2000,500,PT,95-99,267,0.1,25.3
Nonref,2000,500,PT,Top 1%,174,0,28.6
Nonref,2000,500,PT,ALL,4124,5.2,9.2
Nonref,2000,1000,CL,0-10,1832,40.2,-32.4
Nonref,2000,1000,CL,20-Oct,5670,42.7,-16.7
Nonref,2000,1000,CL,20-30,6519,31,4.2
Nonref,2000,1000,CL,30-40,5845,19.1,15.5
Nonref,2000,1000,CL,40-50,4580,10.9,16.9
Nonref,2000,1000,CL,50-60,4157,7.4,10.9
Nonref,2000,1000,CL,60-70,4314,5.8,12.5
Nonref,2000,1000,CL,70-80,4309,4.3,17.5
Nonref,2000,1000,CL,80-90,4031,3,20.5
Nonref,2000,1000,CL,90-95,3944,2,21.3
Nonref,2000,1000,CL,95-99,2549,0.8,25.9
Nonref,2000,1000,CL,Top 1%,262,0,28.6
Nonref,2000,1000,CL,ALL,4741,5.9,8.4
Nonref,2000,1000,NO,0-10,1832,40.2,-32.4
Nonref,2000,1000,NO,20-Oct,5670,42.7,-16.7
Nonref,2000,1000,NO,20-30,6520,31,4.2
Nonref,2000,1000,NO,30-40,5845,19.1,15.5
Nonref,2000,1000,NO,40-50,4581,10.9,16.9
Nonref,2000,1000,NO,50-60,4157,7.4,10.9
Nonref,2000,1000,NO,60-70,4314,5.8,12.5
Nonref,2000,1000,NO,70-80,4309,4.3,17.5
Nonref,2000,1000,NO,80-90,4031,3,20.5
Nonref,2000,1000,NO,90-95,3951,2,21.3
Nonref,2000,1000,NO,95-99,3974,1.2,25.2
Nonref,2000,1000,NO,Top 1%,4138,0.3,28.6
Nonref,2000,1000,NO,ALL,4828,6,8.4
Nonref,2000,1000,PT,0-10,1829,40.1,-32.4
Nonref,2000,1000,PT,20-Oct,5670,42.7,-16.7
Nonref,2000,1000,PT,20-30,6519,31,4.2
Nonref,2000,1000,PT,30-40,5843,19.1,15.5
Nonref,2000,1000,PT,40-50,4579,10.9,16.9
Nonref,2000,1000,PT,50-60,4156,7.4,10.9
Nonref,2000,1000,PT,60-70,4278,5.8,13.1
Nonref,2000,1000,PT,70-80,3766,3.8,20.8
Nonref,2000,1000,PT,80-90,1722,1.3,23.9
Nonref,2000,1000,PT,90-95,385,0.2,21.7
Nonref,2000,1000,PT,95-99,272,0.1,25.3
Nonref,2000,1000,PT,Top 1%,176,0,28.6
Nonref,2000,1000,PT,ALL,4221,5.3,9.1
Nonref,2500,0,CL,0-10,1833,40.2,-32.4
Nonref,2500,0,CL,20-Oct,5670,42.7,-16.7
