type,ctc_c,u6_bonus,ps,max_c,bon6,max_r,q_age,thresh,pir,pos,por
Nonref,2000,0,CL,"$2,000 ",$0 ,"$1,400 ",0-16,"$2,500 ",15%,"$200,000 Single/$400,000 Married",5%
Nonref,2000,0,NO,"$2,000 ",$0 ,"$1,400 ",0-16,"$2,500 ",15%,No Phaseout,0%
Nonref,2000,0,PT,"$2,000 ",$0 ,"$1,400 ",0-16,"$2,500 ",15%,"$75,000 Single/$110,000 Married",5%
Nonref,2000,500,CL,"$2,000 ",$500 ,"$1,400 ",0-16,"$2,500 ",15%,"$200,000 Single/$400,000 Married",5%
Nonref,2000,500,NO,"$2,000 ",$500 ,"$1,400 ",0-16,"$2,500 ",15%,No Phaseout,0%
Nonref,2000,500,PT,"$2,000 ",$500 ,"$1,400 ",0-16,"$2,500 ",15%,"$75,000 Single/$110,000 Married",5%
Nonref,2000,1000,CL,"$2,000 ","$1,000 ","$1,400 ",0-16,"$2,500 ",15%,"$200,000 Single/$400,000 Married",5%
Nonref,2000,1000,NO,"$2,000 ","$1,000 ","$1,400 ",0-16,"$2,500 ",15%,No Phaseout,0%
Nonref,2000,1000,PT,"$2,000 ","$1,000 ","$1,400 ",0-16,"$2,500 ",15%,"$75,000 Single/$110,000 Married",5%
Nonref,2500,0,CL,"$2,500 ",$0 ,"$1,400 ",0-16,"$2,500 ",15%,"$200,000 Single/$400,000 Married",5%
Nonref,2500,0,NO,"$2,500 ",$0 ,"$1,400 ",0-16,"$2,500 ",15%,No Phaseout,0%
Nonref,2500,0,PT,"$2,500 ",$0 ,"$1,400 ",0-16,"$2,500 ",15%,"$75,000 Single/$110,000 Married",5%
Nonref,2500,500,CL,"$2,500 ",$500 ,"$1,400 ",0-16,"$2,500 ",15%,"$200,000 Single/$400,000 Married",5%
Nonref,2500,500,NO,"$2,500 ",$500 ,"$1,400 ",0-16,"$2,500 ",15%,No Phaseout,0%
Nonref,2500,500,PT,"$2,500 ",$500 ,"$1,400 ",0-16,"$2,500 ",15%,"$75,000 Single/$110,000 Married",5%
Nonref,2500,1000,CL,"$2,500 ","$1,000 ","$1,400 ",0-16,"$2,500 ",15%,"$200,000 Single/$400,000 Married",5%
Nonref,2500,1000,NO,"$2,500 ","$1,000 ","$1,400 ",0-16,"$2,500 ",15%,No Phaseout,0%
Nonref,2500,1000,PT,"$2,500 ","$1,000 ","$1,400 ",0-16,"$2,500 ",15%,"$75,000 Single/$110,000 Married",5%
Nonref,3000,0,CL,"$3,000 ",$0 ,"$1,400 ",0-16,"$2,500 ",15%,"$200,000 Single/$400,000 Married",5%
